,Point Estimate,Lower Bound,Upper Bound
25.279774,0.926261319534282,0.9073783989483152,0.9450078125
25.457018,0.9315068493150684,0.9114276672694395,0.948509485094851
25.634264,0.936231884057971,0.9176820301291249,0.953324625465462
25.811508,0.9357249626307922,0.9164082260453458,0.9528194095107434
25.988754,0.94375,0.9252278037383177,0.9608463131806505
26.165998,0.9442622950819672,0.9246104044675316,0.9617317740072279
26.343243,0.9424083769633508,0.9225029377203291,0.9594430240403394
26.520489,0.942652329749104,0.9222156684815488,0.9609984392379175
26.697733,0.945054945054945,0.9236564606898089,0.9636396574440053
26.874979,0.9492753623188406,0.9308365168156081,0.9678571428571429
27.052223,0.9509433962264151,0.9306902829119685,0.9679879373761143
27.22947,0.952755905511811,0.9333267716535433,0.9704228520017993
27.406713,0.9570552147239264,0.9394508563000311,0.9740544755419578
27.58396,0.9583333333333334,0.9384288747346072,0.9756122247457292
27.761204,0.9578059071729957,0.9370864229036999,0.9748980125523014
27.938448,0.9569160997732427,0.9370555673834363,0.9735711801530258
28.115694,0.9573033707865168,0.936768149882904,0.9757201077068627
28.292938,0.960919540229885,0.9411764705882353,0.9777777777777777
28.470184,0.962800875273523,0.9427775235189423,0.978448275862069
28.647429,0.9646017699115044,0.9446971399961172,0.9805636452309622
28.824675,0.965675057208238,0.9473438841859895,0.9816555462885738
29.001919,0.9617224880382775,0.9408793835048529,0.9785202863961814
29.179165,0.9631449631449631,0.9432028306221855,0.9805825242718447
29.35641,0.9629629629629629,0.9414463939842771,0.9807692307692307
29.533653,0.9622166246851386,0.9405684754521964,0.9802955665024631
29.7109,0.9624060150375939,0.9423486297607999,0.9801019654204226
29.888144,0.9624060150375939,0.9411692263112141,0.9804878048780488
30.06539,0.9641025641025641,0.944583680353856,0.9824561403508771
30.242634,0.9627659574468085,0.9424657534246575,0.9811346046841014
30.41988,0.9627659574468085,0.941160572337043,0.9813333333333333
30.597124,0.9625668449197861,0.9433885565270748,0.981029810298103
30.77437,0.9625668449197861,0.9427792915531336,0.979381443298969
30.951614,0.9615384615384616,0.9378531073446328,0.9790575916230366
31.128859,0.9641873278236914,0.9438202247191011,0.983427691093437
31.306105,0.96398891966759,0.9434947996918336,0.9813358090185675
31.483349,0.9722222222222222,0.9539185101153337,0.989010989010989
31.660595,0.9745042492917847,0.9579772754172092,0.9888888888888889
31.83784,0.9791044776119403,0.9609550638251545,0.9939051774499781
32.015083,0.9788519637462235,0.9607250755287009,0.991417230954191
32.19233,0.9785932721712538,0.9615061162079511,0.9938271604938271
32.369576,0.98125,0.9652941765560062,0.9939759036144579
32.54682,0.9840255591054313,0.9685434442975605,0.9968253968253968
32.724064,0.9833887043189369,0.9694863191993984,0.9967213114754099
32.90131,0.9863013698630136,0.971830985915493,0.996700211004707
33.078556,0.9858156028368794,0.9698872180451128,0.9965635738831615
33.2558,0.9848484848484849,0.9689922480620154,0.9962832137615056
33.433044,0.987012987012987,0.968609865470852,1.0
33.61029,0.9863013698630136,0.967741935483871,1.0
33.787537,0.9853658536585366,0.968991702288157,1.0
33.96478,0.9948186528497409,0.9791666666666666,1.0
34.142025,0.9942196531791907,0.9820359281437125,1.0
34.31927,0.9937888198757764,0.9808917197452229,1.0
34.496513,0.993006993006993,0.9777777777777777,1.0
34.67376,0.992,0.9752066115702479,1.0
34.851006,1.0,1.0,1.0
35.02825,1.0,1.0,1.0
35.205494,1.0,1.0,1.0
35.38274,1.0,1.0,1.0
35.559986,1.0,1.0,1.0
